exercise,type,bodypart,equipment,level
Partner plank band row,Strength,Abdominals,Bands,Intermediate
Banded crunch isometric hold,Strength,Abdominals,Bands,Intermediate
FYR Banded Plank Jack,Strength,Abdominals,Bands,Intermediate
Banded crunch,Strength,Abdominals,Bands,Intermediate
Crunch,Strength,Abdominals,Bands,Intermediate
Decline band press sit-up,Strength,Abdominals,Bands,Intermediate
FYR2 Banded Frog Pump,Strength,Abdominals,Bands,Intermediate
Band low-to-high twist,Strength,Abdominals,Bands,Intermediate
Barbell roll-out,Strength,Abdominals,Barbell,Intermediate
Barbell Ab Rollout - On Knees,Strength,Abdominals,Barbell,Intermediate
Decline bar press sit-up,Strength,Abdominals,Barbell,Intermediate
Bench barbell roll-out,Strength,Abdominals,Barbell,Beginner
Barbell Side Bend,Strength,Abdominals,Barbell,Beginner
Seated bar twist,Strength,Abdominals,Barbell,Intermediate
Single-arm landmine pull and press,Strength,Abdominals,Barbell,Intermediate
Barbell Ab Roll Out - Gethin Variation,Strength,Abdominals,Barbell,Intermediate
30 Barbell Floor Wiper,Strength,Abdominals,Barbell,Intermediate
30 Barbell Roll-Out,Strength,Abdominals,Barbell,Intermediate
Decline plate sit-up,Strength,Abdominals,Barbell,Intermediate
KV Barbell Hip Thrust,Strength,Abdominals,Barbell,Intermediate
Advanced Kettlebell Windmill,Strength,Abdominals,Kettlebells,Beginner
Kettlebell Windmill,Strength,Abdominals,Kettlebells,Intermediate
Kettlebell Pass Between The Legs,Strength,Abdominals,Kettlebells,Beginner
Kettlebell 3-point leg extension,Strength,Abdominals,Kettlebells,Intermediate
Double Kettlebell Swing,Strength,Abdominals,Kettlebells,Intermediate
Burpee over kettlebell,Strength,Abdominals,Kettlebells,Intermediate
Kettlebell toe-touch,Strength,Abdominals,Kettlebells,Intermediate
Kettlebell swing,Strength,Abdominals,Kettlebells,Intermediate
Two-way swing,Strength,Abdominals,Kettlebells,Intermediate
Kettlebell crab reach,Strength,Abdominals,Kettlebells,Intermediate
Taylor Single-Arm Kettlebell Swing,Strength,Abdominals,Kettlebells,Intermediate
Holman Kettlebell Up to Elbow Down,Strength,Abdominals,Kettlebells,Intermediate
FYR2 Double-Kettlebell Ski,Strength,Abdominals,Kettlebells,Intermediate
FYR2 Kettlebell Hike,Strength,Abdominals,Kettlebells,Intermediate
FYR2 Kettlebell Cross-Body Catch,Strength,Abdominals,Kettlebells,Intermediate
FYR2 Kettlebell Duck Walk,Strength,Abdominals,Kettlebells,Intermediate
FYR2 Kettlebell Get-Up Reach,Strength,Abdominals,Kettlebells,Intermediate
FYR2 Kettlebell Juggle,Strength,Abdominals,Kettlebells,Intermediate
FYR2 Squat-Clean-Alternating-Press Complex,Strength,Abdominals,Kettlebells,Intermediate
Dumbbell V-Sit Cross Jab,Strength,Abdominals,Dumbbell,Intermediate
Dumbbell spell caster,Strength,Abdominals,Dumbbell,Beginner
Dumbbell side bend,Strength,Abdominals,Dumbbell,Intermediate
Dumbbell crunch,Strength,Abdominals,Dumbbell,Intermediate
Dumbbell Fix Dumbbell Sprawl,Strength,Abdominals,Dumbbell,Intermediate
Dumbbell Fix Alternating Renegade Row,Strength,Abdominals,Dumbbell,Intermediate
Dumbbell Fix Dumbbell Mountain Climber,Strength,Abdominals,Dumbbell,Intermediate
Dumbbell Fix Dumbbell Russian Twist,Strength,Abdominals,Dumbbell,Intermediate
Dumbbell Fix Dumbbell Pull-Over,Strength,Abdominals,Dumbbell,Intermediate
Dumbbell Fix Dumbbell Sit-Up,Strength,Abdominals,Dumbbell,Intermediate
Dumbbell Fix Dumbbell Front Squat,Strength,Abdominals,Dumbbell,Intermediate
Dumbbell Fix Full Man Maker,Strength,Abdominals,Dumbbell,Intermediate
Dumbbell T-hold,Strength,Abdominals,Dumbbell,Intermediate
Dumbbell hollow-body floor press,Strength,Abdominals,Dumbbell,Intermediate
Dumbbell crusher,Strength,Abdominals,Dumbbell,Intermediate
Dumbbell Crunch - Gethin Variation,Strength,Abdominals,Dumbbell,Intermediate
Single-arm dumbbell crunch,Strength,Abdominals,Dumbbell,Intermediate
HM Alternating Dumbbell Plank Row,Strength,Abdominals,Dumbbell,Intermediate
Dumbbell straight-legged hip raise,Strength,Abdominals,Dumbbell,Intermediate
Seated leg tuck with dumbbell,Strength,Abdominals,Dumbbell,Intermediate
Dumbbell V-sit cross jab-,Strength,Abdominals,Dumbbell,Intermediate
30 Hanging Leg Raise With Dumbbell,Strength,Abdominals,Dumbbell,Intermediate
Dumbbell Get-Up Sit-Up,Strength,Abdominals,Dumbbell,Expert
Holman Right Side Plank with Left Triceps Press,Strength,Abdominals,Dumbbell,Intermediate
Holman Left Side Plank with Right Triceps Press,Strength,Abdominals,Dumbbell,Intermediate
Holman Boat with Feet Push-Out and Overhead Press,Strength,Abdominals,Dumbbell,Intermediate
Holman Hovering Plank Row,Strength,Abdominals,Dumbbell,Intermediate
Holman Weighted Seated Killer Abs to Russian Twist,Strength,Abdominals,Dumbbell,Intermediate
Holman Straight Plank Dumbbell Reach-Under,Strength,Abdominals,Dumbbell,Intermediate
Holman Straight-Arm Side Plank Overhead Press to Chest Press,Strength,Abdominals,Dumbbell,Intermediate
Holman Weighted Burpee to Pike,Strength,Abdominals,Dumbbell,Intermediate
Holman Straight-Legged Boat Chest Press,Strength,Abdominals,Dumbbell,Intermediate
Holman Weighted Burpee to Side Delt Raise,Strength,Abdominals,Dumbbell,Intermediate
Holman Heavy Double Pike,Strength,Abdominals,Dumbbell,Intermediate
Holman Heavy Double Split Pike,Strength,Abdominals,Dumbbell,Intermediate
MetaBurn Alternating Dumbbell Sit-Through,Strength,Abdominals,Dumbbell,Intermediate
MetaBurn Alternating Plank Row With Dumbbell Pull-Through,Strength,Abdominals,Dumbbell,Intermediate
MetaBurn Alternating Plank Row With Push-Up,Strength,Abdominals,Dumbbell,Intermediate
MetaBurn Dumbbell Russian Twist,Strength,Abdominals,Dumbbell,Intermediate
MetaBurn Dumbbell Toe-Touch,Strength,Abdominals,Dumbbell,Intermediate
MetaBurn Plank To Alternating Row,Strength,Abdominals,Dumbbell,Intermediate
Standing dumbbell knee crunch-,Strength,Abdominals,Dumbbell,Intermediate
MetaBurn Plank With Dumbbell Rotation,Strength,Abdominals,Dumbbell,Intermediate
FYR2 Dumbbell Crab Reach,Strength,Abdominals,Dumbbell,Intermediate
FYR2 Dumbbell Man-Maker,Strength,Abdominals,Dumbbell,Intermediate
FYR2 Dumbbell Sit-Up Reach,Strength,Abdominals,Dumbbell,Intermediate
FYR2 Loaded Beast Sprawl,Strength,Abdominals,Dumbbell,Intermediate
FYR2 Loaded to Unloaded Beast,Strength,Abdominals,Dumbbell,Intermediate
Lying Leg Pullover,Strength,Abdominals,Dumbbell,Intermediate
Landmine twist,Strength,Abdominals,Other,Intermediate
Suspended ab fall-out,Strength,Abdominals,Other,Intermediate
Decline reverse crunch,Strength,Abdominals,Other,Intermediate
Plate Twist,Strength,Abdominals,Other,Beginner
Weighted Crunches,Strength,Abdominals,Other,Intermediate
Ab Roller,Strength,Abdominals,Other,Intermediate
Otis-Up,Strength,Abdominals,Other,Intermediate
Captain's chair knee raise,Strength,Abdominals,Other,Intermediate
Sledgehammer swing,Plyometrics,Abdominals,Other,Intermediate
Decline bar press sit-up,Strength,Abdominals,Barbell,Intermediate
Pallof press,Strength,Abdominals,Other,Intermediate
Weighted Sit-Ups - With Bands,Strength,Abdominals,Other,Intermediate
Suitcase crunch,Strength,Abdominals,Other,Intermediate
FYR Rope Jumping,Strength,Abdominals,Other,Intermediate
Barbell press sit-up,Strength,Abdominals,Other,Intermediate
Single-arm bent-over rear delt fly,Strength,Abdominals,Other,Intermediate
Captain's chair leg raise,Strength,Abdominals,Other,Intermediate
Shoulder-Elevated One-Leg Hip Thrusts,Strength,Abdominals,Other,Intermediate
Ab Twist - Gethin Variation,Strength,Abdominals,Other,Intermediate
Weighted Crunch - Gethin Variation,Strength,Abdominals,Other,Intermediate
Ab Wheel Roll-Out - Gethin Variation,Strength,Abdominals,Other,Intermediate
Bench crunch,Strength,Abdominals,Other,Intermediate
Decline plate sit-up twist,Strength,Abdominals,Other,Intermediate
Reverse ab roll-out,Strength,Abdominals,Other,Intermediate
30 Seated Twist With PVC Pipe,Strength,Abdominals,Other,Intermediate
Suspended crunch-,Strength,Abdominals,Other,Intermediate
Suspended oblique crunch,Strength,Abdominals,Other,Intermediate
Weighted sit-up,Strength,Abdominals,Other,Intermediate
30 Decline Press Sit-Up,Strength,Abdominals,Other,Intermediate
Holman Towel Reverse Plank Alternating Heel Pull-in,Strength,Abdominals,Other,Intermediate
Holman Boat with Weighted Cross Punch,Strength,Abdominals,Other,Intermediate
Holman Weighted Hook Punch,Strength,Abdominals,Other,Intermediate
Holman Weighted Traveling Punch,Strength,Abdominals,Other,Intermediate
Holman Weighted Uppercut Punch,Strength,Abdominals,Other,Intermediate
Holman Slow Weighted Double Pike,Strength,Abdominals,Other,Intermediate
Holman Plate Straight Plank Reach,Strength,Abdominals,Other,Intermediate
Holman Plate Elbow Plank Jack to Straight Plank Jack,Strength,Abdominals,Other,Intermediate
Holman Plate Hill Climber,Strength,Abdominals,Other,Intermediate
Holman Plate Reverse Plank Hill Climber,Strength,Abdominals,Other,Intermediate
Holman Plate Straight Plank Pike to Jack,Strength,Abdominals,Other,Intermediate
Holman Plate In-and-Out Push-Up,Strength,Abdominals,Other,Intermediate
Holman Plate Burpee,Strength,Abdominals,Other,Intermediate
Holman Plate Elbow Plank Reach,Strength,Abdominals,Other,Intermediate
Holman Elbow Plank to Renegade Row,Strength,Abdominals,Other,Intermediate
Holman Straight Plank Weighted Hand Hill Climber,Strength,Abdominals,Other,Intermediate
Holman Weighted Left Side Diagonal Pike,Strength,Abdominals,Other,Intermediate
Holman Weighted Right Side Diagonal Pike,Strength,Abdominals,Other,Intermediate
Holman Weighted W-Boat to Overhead Press,Strength,Abdominals,Other,Intermediate
Holman Weighted Kneeling Lift,Strength,Abdominals,Other,Intermediate
Holman Hips-Up Weighted Pull-Over,Strength,Abdominals,Other,Intermediate
Holman Weighted Cross Punch,Strength,Abdominals,Other,Intermediate
Holman Straight-Leg Boat Hover Chest Press,Strength,Abdominals,Other,Intermediate
Holman Weighted Pike,Strength,Abdominals,Other,Intermediate
Holman Feet-Elevated Wax-On Wax-Off,Strength,Abdominals,Other,Intermediate
Holman Elbow Plank to Towel Pike,Strength,Abdominals,Other,Intermediate
Holman Seated Killer Abs Overhead Press,Strength,Abdominals,Other,Intermediate
Holman Straight Plank Alternating Weighted Open,Strength,Abdominals,Other,Intermediate
Holman Weighted Killer Abs with Overhead Press,Strength,Abdominals,Other,Intermediate
Holman Weighted Split-Leg Pike,Strength,Abdominals,Other,Intermediate
Holman Towel Reverse Plank Heel Pull-in,Strength,Abdominals,Other,Intermediate
Stick Twist,Strength,Abdominals,Other,Intermediate
Roc Everest,Cardio,Abdominals,Other,Intermediate
Standing cable low-to-high twist,Strength,Abdominals,Cable,Intermediate
Single-arm high-cable side bend,Strength,Abdominals,Cable,Intermediate
Kneeling cable oblique crunch,Strength,Abdominals,Cable,Intermediate
Kneeling cable crunch,Strength,Abdominals,Cable,Intermediate
Rope Crunch,Strength,Abdominals,Cable,Intermediate
Standing cable crunch,Strength,Abdominals,Cable,Intermediate
Bosu Ball Cable Crunch With Side Bends,Strength,Abdominals,Cable,Beginner
Standing Cable Wood Chop,Strength,Abdominals,Cable,Intermediate
Cable reverse crunch,Strength,Abdominals,Cable,Beginner
Cable Russian Twists,Strength,Abdominals,Cable,Beginner
Pallof press with rotation,Strength,Abdominals,Cable,Intermediate
Cable Seated Crunch,Strength,Abdominals,Cable,Beginner
Cable Judo Flip,Strength,Abdominals,Cable,Beginner
Exercise Ball Cable Crunch - Gethin Variation,Strength,Abdominals,Cable,Intermediate
Standing cable high-to-low twist,Strength,Abdominals,Cable,Intermediate
Bent-Over Reverse Cable Fly,Strength,Abdominals,Cable,Intermediate
Standing Cable Crunch - Gethin Variation,Strength,Abdominals,Cable,Intermediate
AM Cable Crunch,Strength,Abdominals,Cable,Intermediate
Tyler Holt Weighted Knee-To-Chest Crunch,Strength,Abdominals,Cable,Intermediate
Standing cable twist,Strength,Abdominals,Cable,Intermediate
30 Cable Rope Crunch,Strength,Abdominals,Cable,Intermediate
30 Cable Rope Oblique Crunch,Strength,Abdominals,Cable,Intermediate
Cable lying twist on ball,Strength,Abdominals,Cable,Intermediate
30 Cable Pallof Press,Strength,Abdominals,Cable,Intermediate
30 Cable Reverse Crunch On Ball,Strength,Abdominals,Cable,Intermediate
30 Cable Reverse Crunch,Strength,Abdominals,Cable,Intermediate
Tyler Holt Cable Torso Twist,Strength,Abdominals,Cable,Intermediate
Single-Arm Cable Outward-Facing Biceps Curl,Strength,Abdominals,Cable,Intermediate
