User_ID,Age,Weight_KG,Height_CM,BMI,Fitness_Goal,Diet_Preference,Experience_Level
1,62,52,194,13.8,Weight Maintenance,Non-Vegetarian,Intermediate
2,53,88,175,28.7,Muscle Gain,Non-Vegetarian,Intermediate
3,44,99,184,29.2,Muscle Gain,Vegetarian,Intermediate
4,60,72,162,27.4,Muscle Gain,Vegetarian,Beginner
5,55,111,173,37.1,Fat Loss,Vegetarian,Intermediate
6,51,102,173,34.1,Fat Loss,Non-Vegetarian,Beginner
7,37,81,165,29.8,Fat Loss,Vegetarian,Beginner
8,39,111,173,37.1,Weight Maintenance,Non-Vegetarian,Intermediate
9,31,91,173,30.4,Weight Maintenance,Non-Vegetarian,Beginner
10,41,108,170,37.4,Weight Maintenance,Non-Vegetarian,Beginner
11,40,104,159,41.1,Weight Maintenance,Non-Vegetarian,Intermediate
12,58,97,158,38.9,Weight Maintenance,Vegetarian,Intermediate
13,19,55,159,21.8,Weight Maintenance,Non-Vegetarian,Advanced
14,38,127,176,41.0,Weight Maintenance,Non-Vegetarian,Beginner
15,28,129,165,47.4,Fat Loss,Non-Vegetarian,Intermediate
16,18,127,198,32.4,Weight Maintenance,Vegetarian,Intermediate
17,33,58,168,20.5,Muscle Gain,Vegetarian,Intermediate
18,18,113,169,39.6,Fat Loss,Non-Vegetarian,Beginner
19,37,78,170,27.0,Weight Maintenance,Vegetarian,Beginner
20,64,83,178,26.2,Muscle Gain,Non-Vegetarian,Intermediate
21,53,87,182,26.3,Muscle Gain,Vegetarian,Intermediate
22,60,126,182,38.0,Fat Loss,Vegetarian,Advanced
23,61,115,157,46.7,Muscle Gain,Vegetarian,Beginner
24,41,66,183,19.7,Muscle Gain,Non-Vegetarian,Beginner
25,56,69,192,18.7,Muscle Gain,Vegetarian,Advanced
26,59,54,168,19.1,Fat Loss,Vegetarian,Intermediate
27,63,74,153,31.6,Muscle Gain,Vegetarian,Advanced
28,43,128,195,33.7,Muscle Gain,Non-Vegetarian,Beginner
29,61,66,193,17.7,Fat Loss,Vegetarian,Beginner
30,35,72,159,28.5,Muscle Gain,Non-Vegetarian,Beginner
31,56,89,181,27.2,Muscle Gain,Non-Vegetarian,Beginner
32,60,113,168,40.0,Fat Loss,Vegetarian,Beginner
33,23,67,193,18.0,Muscle Gain,Non-Vegetarian,Advanced
34,58,64,170,22.1,Muscle Gain,Non-Vegetarian,Advanced
35,59,122,153,52.1,Weight Maintenance,Vegetarian,Intermediate
36,56,51,200,12.8,Muscle Gain,Non-Vegetarian,Beginner
37,50,60,151,26.3,Fat Loss,Vegetarian,Advanced
38,43,120,188,34.0,Weight Maintenance,Vegetarian,Beginner
39,23,50,171,17.1,Fat Loss,Vegetarian,Intermediate
40,42,128,189,35.8,Muscle Gain,Vegetarian,Intermediate
41,54,68,193,18.3,Muscle Gain,Non-Vegetarian,Intermediate
42,31,130,151,57.0,Muscle Gain,Vegetarian,Beginner
43,24,116,173,38.8,Weight Maintenance,Non-Vegetarian,Advanced
44,30,123,158,49.3,Weight Maintenance,Non-Vegetarian,Intermediate
45,59,84,163,31.6,Weight Maintenance,Non-Vegetarian,Intermediate
46,62,127,194,33.7,Muscle Gain,Vegetarian,Beginner
47,42,83,178,26.2,Weight Maintenance,Non-Vegetarian,Beginner
48,49,58,160,22.7,Muscle Gain,Vegetarian,Advanced
49,46,100,167,35.9,Muscle Gain,Non-Vegetarian,Advanced
50,58,121,184,35.7,Muscle Gain,Vegetarian,Advanced
51,40,130,158,52.1,Weight Maintenance,Vegetarian,Advanced
52,42,58,187,16.6,Fat Loss,Vegetarian,Intermediate
53,58,60,169,21.0,Fat Loss,Non-Vegetarian,Beginner
54,50,52,177,16.6,Fat Loss,Non-Vegetarian,Intermediate
55,20,85,157,34.5,Fat Loss,Vegetarian,Advanced
56,37,126,172,42.6,Weight Maintenance,Non-Vegetarian,Intermediate
57,51,65,155,27.1,Muscle Gain,Vegetarian,Advanced
58,64,52,182,15.7,Weight Maintenance,Non-Vegetarian,Intermediate
59,57,100,151,43.9,Muscle Gain,Vegetarian,Beginner
60,61,120,155,49.9,Muscle Gain,Non-Vegetarian,Intermediate
61,49,67,154,28.3,Weight Maintenance,Vegetarian,Advanced
62,60,54,179,16.9,Fat Loss,Vegetarian,Intermediate
63,51,68,160,26.6,Muscle Gain,Vegetarian,Advanced
64,58,102,187,29.2,Fat Loss,Non-Vegetarian,Advanced
65,41,103,162,39.2,Weight Maintenance,Non-Vegetarian,Advanced
66,41,94,150,41.8,Weight Maintenance,Non-Vegetarian,Beginner
67,36,96,186,27.7,Muscle Gain,Vegetarian,Beginner
68,29,122,160,47.7,Fat Loss,Non-Vegetarian,Intermediate
69,29,55,158,22.0,Weight Maintenance,Vegetarian,Beginner
70,21,92,175,30.0,Fat Loss,Vegetarian,Intermediate
71,32,106,176,34.2,Fat Loss,Non-Vegetarian,Advanced
72,59,128,195,33.7,Fat Loss,Non-Vegetarian,Advanced
73,42,109,180,33.6,Fat Loss,Vegetarian,Advanced
74,49,129,191,35.4,Fat Loss,Vegetarian,Beginner
75,37,102,162,38.9,Weight Maintenance,Vegetarian,Beginner
76,43,66,200,16.5,Fat Loss,Vegetarian,Beginner
77,22,67,167,24.0,Weight Maintenance,Non-Vegetarian,Advanced
78,31,101,184,29.8,Fat Loss,Non-Vegetarian,Beginner
79,32,113,167,40.5,Muscle Gain,Vegetarian,Intermediate
80,37,54,161,20.8,Fat Loss,Non-Vegetarian,Advanced
81,35,70,163,26.3,Weight Maintenance,Non-Vegetarian,Advanced
82,63,78,192,21.2,Muscle Gain,Non-Vegetarian,Advanced
83,56,106,193,28.5,Muscle Gain,Vegetarian,Beginner
84,61,111,184,32.8,Muscle Gain,Non-Vegetarian,Advanced
85,53,92,164,34.2,Fat Loss,Non-Vegetarian,Beginner
86,22,94,153,40.2,Weight Maintenance,Non-Vegetarian,Intermediate
87,52,75,189,21.0,Weight Maintenance,Vegetarian,Advanced
88,30,57,168,20.2,Muscle Gain,Vegetarian,Intermediate
89,46,65,150,28.9,Weight Maintenance,Vegetarian,Intermediate
90,63,129,160,50.4,Weight Maintenance,Non-Vegetarian,Beginner
91,45,97,166,35.2,Muscle Gain,Vegetarian,Advanced
92,22,117,172,39.5,Fat Loss,Non-Vegetarian,Beginner
93,51,61,154,25.7,Weight Maintenance,Non-Vegetarian,Advanced
94,49,130,195,34.2,Weight Maintenance,Vegetarian,Advanced
95,32,54,164,20.1,Fat Loss,Non-Vegetarian,Beginner
96,52,105,157,42.6,Fat Loss,Vegetarian,Beginner
97,46,61,155,25.4,Fat Loss,Vegetarian,Intermediate
98,29,111,169,38.9,Muscle Gain,Vegetarian,Intermediate
99,31,117,153,50.0,Fat Loss,Vegetarian,Beginner
100,47,73,160,28.5,Weight Maintenance,Vegetarian,Intermediate
101,51,118,192,32.0,Weight Maintenance,Non-Vegetarian,Beginner
102,26,58,183,17.3,Weight Maintenance,Vegetarian,Advanced
103,21,56,157,22.7,Fat Loss,Vegetarian,Beginner
104,35,55,153,23.5,Muscle Gain,Vegetarian,Advanced
105,23,128,167,45.9,Fat Loss,Vegetarian,Advanced
106,42,130,184,38.4,Weight Maintenance,Vegetarian,Beginner
107,36,106,173,35.4,Weight Maintenance,Non-Vegetarian,Intermediate
108,23,127,154,53.6,Weight Maintenance,Vegetarian,Beginner
109,51,99,178,31.2,Muscle Gain,Vegetarian,Advanced
110,53,130,165,47.8,Weight Maintenance,Non-Vegetarian,Beginner
111,32,108,184,31.9,Weight Maintenance,Vegetarian,Beginner
112,19,111,187,31.7,Fat Loss,Vegetarian,Beginner
113,60,121,153,51.7,Muscle Gain,Non-Vegetarian,Intermediate
114,38,90,156,37.0,Weight Maintenance,Non-Vegetarian,Advanced
115,41,81,163,30.5,Muscle Gain,Vegetarian,Intermediate
116,53,121,178,38.2,Weight Maintenance,Vegetarian,Beginner
117,38,93,162,35.4,Muscle Gain,Vegetarian,Beginner
118,55,72,195,18.9,Weight Maintenance,Non-Vegetarian,Intermediate
119,38,79,184,23.3,Fat Loss,Vegetarian,Intermediate
120,19,100,164,37.2,Muscle Gain,Vegetarian,Intermediate
121,28,66,193,17.7,Weight Maintenance,Non-Vegetarian,Advanced
122,53,95,186,27.5,Weight Maintenance,Vegetarian,Intermediate
123,51,97,188,27.4,Muscle Gain,Vegetarian,Beginner
124,53,83,154,35.0,Weight Maintenance,Non-Vegetarian,Beginner
125,31,56,193,15.0,Muscle Gain,Vegetarian,Advanced
126,38,71,173,23.7,Muscle Gain,Vegetarian,Intermediate
127,38,72,192,19.5,Fat Loss,Vegetarian,Beginner
128,22,102,154,43.0,Muscle Gain,Non-Vegetarian,Intermediate
129,23,76,200,19.0,Weight Maintenance,Vegetarian,Advanced
130,65,116,184,34.3,Weight Maintenance,Vegetarian,Intermediate
131,38,63,187,18.0,Muscle Gain,Non-Vegetarian,Beginner
132,56,90,161,34.7,Fat Loss,Vegetarian,Advanced
133,60,53,197,13.7,Muscle Gain,Vegetarian,Advanced
134,64,123,168,43.6,Fat Loss,Non-Vegetarian,Advanced
135,39,122,153,52.1,Muscle Gain,Vegetarian,Intermediate
136,53,68,155,28.3,Weight Maintenance,Vegetarian,Advanced
137,51,125,173,41.8,Muscle Gain,Vegetarian,Advanced
138,53,77,176,24.9,Fat Loss,Vegetarian,Advanced
139,32,130,172,43.9,Weight Maintenance,Non-Vegetarian,Intermediate
140,23,85,189,23.8,Muscle Gain,Vegetarian,Intermediate
141,60,61,162,23.2,Weight Maintenance,Vegetarian,Advanced
142,31,85,153,36.3,Weight Maintenance,Vegetarian,Advanced
143,28,64,189,17.9,Weight Maintenance,Vegetarian,Beginner
144,21,104,188,29.4,Weight Maintenance,Non-Vegetarian,Beginner
145,50,52,159,20.6,Fat Loss,Vegetarian,Advanced
146,65,109,162,41.5,Muscle Gain,Vegetarian,Advanced
147,52,110,179,34.3,Fat Loss,Non-Vegetarian,Beginner
148,41,84,162,32.0,Muscle Gain,Vegetarian,Beginner
149,52,113,150,50.2,Weight Maintenance,Vegetarian,Intermediate
150,61,64,200,16.0,Fat Loss,Non-Vegetarian,Advanced
151,18,102,175,33.3,Weight Maintenance,Non-Vegetarian,Advanced
152,63,92,177,29.4,Muscle Gain,Non-Vegetarian,Beginner
153,45,104,171,35.6,Fat Loss,Vegetarian,Beginner
154,52,100,174,33.0,Muscle Gain,Non-Vegetarian,Intermediate
155,21,116,181,35.4,Weight Maintenance,Vegetarian,Intermediate
156,39,119,188,33.7,Weight Maintenance,Vegetarian,Advanced
157,65,54,183,16.1,Fat Loss,Vegetarian,Intermediate
158,59,92,182,27.8,Fat Loss,Vegetarian,Beginner
159,36,124,198,31.6,Muscle Gain,Vegetarian,Beginner
